Immediate response time,Innate Immunity
No specificity,Innate Immunity
No persistence,Innate Immunity
Cells release histamines and prostaglandins into affected tissue.,Innate Immunity
Phagocytosis - cells engulf foreign material.,Innate Immunity
Response time is about a week,Adaptive Immunity
Specific antigens are targeted.,Adaptive Immunity
Long-term persistence,Adaptive Immunity
Can tailor response to target specific antigens.,Adaptive Immunity
Neutrophils - circulate in blood, migrate into damaged tissues.,Adaptive Immunity
Physical like skin,Barriers
Chemical like salivary pH,Barriers
Mechanical like sneezing.,Barriers
Antibacterial enzymes in saliva.,Barriers
Good gut bacteria out compete bad.,Barriers